lat,lon,fecha_actual,mes_pronostico,valor,variable
-37.0,-62.0,2025-12-01,4,75.03,precipitacion_acumulada
-37.0,-62.0,2025-12-01,5,69.88,precipitacion_acumulada
-37.0,-62.0,2025-12-01,6,48.56,precipitacion_acumulada
-37.0,-61.0,2025-12-01,1,78.29,precipitacion_acumulada
-37.0,-61.0,2025-12-01,2,76.16,precipitacion_acumulada
-37.0,-61.0,2025-12-01,3,93.45,precipitacion_acumulada
-37.0,-61.0,2025-12-01,4,78.5,precipitacion_acumulada
-37.0,-61.0,2025-12-01,5,75.97,precipitacion_acumulada
-37.0,-61.0,2025-12-01,6,55.27,precipitacion_acumulada
-37.0,-60.0,2025-12-01,1,83.84,precipitacion_acumulada
-37.0,-60.0,2025-12-01,2,81.5,precipitacion_acumulada
-37.0,-60.0,2025-12-01,3,95.24,precipitacion_acumulada
-37.0,-60.0,2025-12-01,4,78.52,precipitacion_acumulada
-37.0,-60.0,2025-12-01,5,78.22,precipitacion_acumulada
-37.0,-60.0,2025-12-01,6,61.56,precipitacion_acumulada
-37.0,-59.0,2025-12-01,1,87.59,precipitacion_acumulada
-37.0,-59.0,2025-12-01,2,79.51,precipitacion_acumulada
-37.0,-59.0,2025-12-01,3,95.1,precipitacion_acumulada
-37.0,-59.0,2025-12-01,4,76.08,precipitacion_acumulada
-37.0,-59.0,2025-12-01,5,79.22,precipitacion_acumulada
-37.0,-59.0,2025-12-01,6,63.57,precipitacion_acumulada
-37.0,-58.0,2025-12-01,1,89.83,precipitacion_acumulada
-37.0,-58.0,2025-12-01,2,77.54,precipitacion_acumulada
-37.0,-58.0,2025-12-01,3,98.92,precipitacion_acumulada
-37.0,-58.0,2025-12-01,4,79.34,precipitacion_acumulada
-37.0,-58.0,2025-12-01,5,81.28,precipitacion_acumulada
-37.0,-58.0,2025-12-01,6,65.21,precipitacion_acumulada
-37.0,-57.0,2025-12-01,1,91.22,precipitacion_acumulada
-37.0,-57.0,2025-12-01,2,73.68,precipitacion_acumulada
-37.0,-57.0,2025-12-01,3,92.48,precipitacion_acumulada
-37.0,-57.0,2025-12-01,4,81.65,precipitacion_acumulada
-37.0,-57.0,2025-12-01,5,80.64,precipitacion_acumulada
-37.0,-57.0,2025-12-01,6,70.42,precipitacion_acumulada
-37.0,-56.0,2025-12-01,1,81.08,precipitacion_acumulada
-37.0,-56.0,2025-12-01,2,66.35,precipitacion_acumulada
-37.0,-56.0,2025-12-01,3,81.0,precipitacion_acumulada
-37.0,-56.0,2025-12-01,4,80.93,precipitacion_acumulada
-37.0,-56.0,2025-12-01,5,81.69,precipitacion_acumulada
-37.0,-56.0,2025-12-01,6,74.83,precipitacion_acumulada
-36.0,-65.0,2025-12-01,1,62.44,precipitacion_acumulada
-36.0,-65.0,2025-12-01,2,60.89,precipitacion_acumulada
-36.0,-65.0,2025-12-01,3,76.67,precipitacion_acumulada
-36.0,-65.0,2025-12-01,4,71.29,precipitacion_acumulada
-36.0,-65.0,2025-12-01,5,59.97,precipitacion_acumulada
-36.0,-65.0,2025-12-01,6,37.45,precipitacion_acumulada
-36.0,-64.0,2025-12-01,1,63.95,precipitacion_acumulada
-36.0,-64.0,2025-12-01,2,67.73,precipitacion_acumulada
-36.0,-64.0,2025-12-01,3,83.84,precipitacion_acumulada
